dataset,backbone,regime,event_recall_base,event_recall_bech,event_recall_delta,complete_miss_rate_base,complete_miss_rate_bech,complete_miss_rate_delta,boundary_mismatch_rate_base,boundary_mismatch_rate_bech,boundary_mismatch_rate_delta,fragmented_rate_base,fragmented_rate_bech,fragmented_rate_delta,exact_boundary_rate_base,exact_boundary_rate_bech,exact_boundary_rate_delta,point_recall_base,point_recall_bech,point_recall_delta,point_precision_base,point_precision_bech,point_precision_delta,mae_on_true_event_hours_base,mae_on_true_event_hours_bech,mae_on_true_event_hours_delta
LAGO_DE,Linear,negative,0.7872340425531915,0.7872340425531915,0.0,0.2127659574468085,0.2127659574468085,0.0,0.5531914893617021,0.5531914893617021,0.0,0.0425531914893617,0.0425531914893617,0.0,0.19148936170212766,0.19148936170212766,0.0,0.788659793814433,0.788659793814433,0.0,0.523972602739726,0.523972602739726,0.0,19.97145706060459,19.97145706060459,0.0
LAGO_DE,Linear,spike,0.24390243902439024,0.24390243902439024,0.0,0.7560975609756098,0.7560975609756098,0.0,0.12195121951219512,0.12195121951219512,0.0,0.04878048780487805,0.04878048780487805,0.0,0.07317073170731707,0.07317073170731707,0.0,0.3383838383838384,0.3383838383838384,0.0,0.8170731707317073,0.8170731707317073,0.0,21.915309849537607,21.915309849537607,0.0
LAGO_FR,GBDT,negative,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.017857142857142856,0.017857142857142856,0.0,18.989807741364007,18.989807741364007,0.0
LAGO_FR,GBDT,spike,0.3421052631578947,0.3421052631578947,0.0,0.6578947368421053,0.6578947368421053,0.0,0.23684210526315788,0.23684210526315788,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.19469026548672566,0.19469026548672566,0.0,0.5641025641025641,0.5641025641025641,0.0,73.50994701767257,73.50994701767257,0.0
LAGO_FR,Linear,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02713953838275,7.02713953838275,0.0
LAGO_FR,Linear,spike,0.2894736842105263,0.2894736842105263,0.0,0.7105263157894737,0.7105263157894737,0.0,0.2894736842105263,0.2894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18584070796460178,0.18584070796460178,0.0,0.7,0.7,0.0,59.13647852184506,59.13647852184506,0.0
LAGO_NP,GBDT,negative,,,,,,,,,,,,,,,,,,,,,,,,
LAGO_NP,GBDT,spike,0.32258064516129037,0.32258064516129037,0.0,0.6774193548387096,0.6774193548387096,0.0,0.22043010752688172,0.22043010752688172,0.0,0.053763440860215055,0.053763440860215055,0.0,0.04838709677419355,0.04838709677419355,0.0,0.23708920187793428,0.23708920187793428,0.0,0.7231503579952268,0.7231503579952268,0.0,7.8247094544180875,7.8247094544180875,0.0
LAGO_NP,Linear,negative,,,,,,,,,,,,,,,,,,,,,,,,
LAGO_NP,Linear,spike,0.564516129032258,0.564516129032258,0.0,0.43548387096774194,0.43548387096774194,0.0,0.43548387096774194,0.43548387096774194,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0967741935483871,0.0967741935483871,0.0,0.6870109546165885,0.6870109546165885,0.0,0.8633235004916421,0.8633235004916421,0.0,4.295985290697399,4.295985290697399,0.0
LAGO_PJM,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.92384300673548,15.92384300673548,0.0
LAGO_PJM,GBDT,spike,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.0,0.140625,0.140625,0.0,60.42584707145667,60.42584707145667,0.0
LAGO_PJM,Linear,negative,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.7222222222222222,0.0,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.375,0.375,0.0,10.419424567413477,10.419424567413477,0.0
LAGO_PJM,Linear,spike,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,46.207941507587414,46.207941507587414,0.0
NEM_NSW1,GBDT,negative,0.06779661016949157,0.19067796610169496,0.1228813559322034,0.9322033898305084,0.809322033898305,-0.1228813559322034,0.05508474576271186,0.13983050847457626,0.0847457627118644,0.012711864406779662,0.0423728813559322,0.02966101694915254,0.0,0.00847457627118644,0.00847457627118644,0.027624309392265192,0.10313075506445672,0.07550644567219153,0.30612244897959184,0.509090909090909,0.2029684601113172,65.51852690088889,58.8137129402761,-6.704813960612789
NEM_NSW1,GBDT,spike,0.12121212121212122,0.12121212121212122,0.0,0.8787878787878788,0.8787878787878788,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09836065573770492,0.09836065573770492,0.0,0.08571428571428572,0.08571428571428572,0.0,2699.9119260032107,2700.5317543531996,0.619828349988893
