dataset,backbone,regime,predictor,n_true_events,n_pred_events,event_recall,complete_miss_rate,boundary_mismatch_rate,fragmented_rate,exact_boundary_rate,mean_best_iou_matched,mean_boundary_l1_h_matched,mean_duration_abs_error_h_matched,false_event_rate,point_recall,point_precision,mae_on_true_event_hours,spike_thr_train
GEFCOM14P,GBDT,spike,bech,13,12,0.46153846153846156,0.5384615384615384,0.3076923076923077,0.0,0.15384615384615385,0.7888888888888889,2.1666666666666665,2.1666666666666665,0.5,0.4507042253521127,0.5,60.26608202091273,139.7256
UNIELEC_DE,Linear,negative,base,119,21,0.11764705882352944,0.8823529411764706,0.11764705882352941,0.0,0.0,0.40680272108843546,3.642857142857143,3.642857142857143,0.3333333333333333,0.059674502712477394,0.6226415094339622,45.99838312805342,78.28
UNIELEC_DE,Linear,negative,bech,119,21,0.11764705882352944,0.8823529411764706,0.11764705882352941,0.0,0.0,0.40680272108843546,3.642857142857143,3.642857142857143,0.3333333333333333,0.059674502712477394,0.6226415094339622,45.99838312805342,78.28
UNIELEC_DE,Linear,spike,base,1101,1191,0.9173478655767484,0.08265213442325159,0.5712988192552225,0.11171662125340599,0.23433242506811988,0.6824814662891843,4.217821782178218,4.071287128712871,0.1015952980688497,0.8347123157394198,0.8693541996830428,22.889107139569067,78.28
UNIELEC_DE,Linear,spike,bech,1101,1191,0.9173478655767484,0.08265213442325159,0.5712988192552225,0.11171662125340599,0.23433242506811988,0.6824814662891843,4.217821782178218,4.071287128712871,0.1015952980688497,0.8347123157394198,0.8693541996830428,22.889107139569067,78.28
UNIELEC_DE,GBDT,negative,base,119,28,0.16806722689075626,0.8319327731092437,0.14285714285714285,0.01680672268907563,0.008403361344537815,0.5351984126984127,3.05,2.95,0.21428571428571427,0.12115732368896925,0.7282608695652174,42.822147495974406,78.28
UNIELEC_DE,GBDT,negative,bech,119,28,0.16806722689075626,0.8319327731092437,0.14285714285714285,0.01680672268907563,0.008403361344537815,0.5351984126984127,3.05,2.95,0.21428571428571427,0.12115732368896925,0.7282608695652174,42.822147495974406,78.28
UNIELEC_DE,GBDT,spike,base,1101,584,0.40417801998183467,0.5958219800181653,0.28247048138056313,0.07811080835603997,0.043596730245231606,0.4966795555793954,6.570786516853933,6.30561797752809,0.09075342465753425,0.28074179743223965,0.8872858431018936,56.809150470146555,78.28
UNIELEC_DE,GBDT,spike,bech,1101,584,0.40417801998183467,0.5958219800181653,0.28247048138056313,0.07811080835603997,0.043596730245231606,0.4966795555793954,6.570786516853933,6.30561797752809,0.09075342465753425,0.28074179743223965,0.8872858431018936,56.809150470146555,78.28
UNIELEC_AT,Linear,negative,base,73,13,0.1095890410958904,0.8904109589041096,0.1095890410958904,0.0,0.0,0.43050595238095235,3.75,3.75,0.38461538461538464,0.06918238993710692,0.5641025641025641,40.16366364393661,75.01
UNIELEC_AT,Linear,negative,bech,73,13,0.1095890410958904,0.8904109589041096,0.1095890410958904,0.0,0.0,0.43050595238095235,3.75,3.75,0.38461538461538464,0.06918238993710692,0.5641025641025641,40.16366364393661,75.01
UNIELEC_AT,Linear,spike,base,1063,1129,0.9012229539040452,0.09877704609595485,0.5032925682031985,0.11665098777046096,0.2812793979303857,0.7233163183281103,3.3194154488517746,3.1899791231732775,0.07174490699734277,0.8623861403822111,0.9220853623603552,18.660884667844524,75.01
UNIELEC_AT,Linear,spike,bech,1063,1129,0.9012229539040452,0.09877704609595485,0.5032925682031985,0.11665098777046096,0.2812793979303857,0.7233163183281103,3.3194154488517746,3.1899791231732775,0.07174490699734277,0.8623861403822111,0.9220853623603552,18.660884667844524,75.01
UNIELEC_AT,GBDT,negative,base,73,26,0.273972602739726,0.726027397260274,0.2328767123287671,0.0136986301369863,0.0273972602739726,0.475021645021645,3.6,3.6,0.19230769230769232,0.18867924528301888,0.7317073170731707,36.36776430737476,75.01
UNIELEC_AT,GBDT,negative,bech,73,26,0.273972602739726,0.726027397260274,0.2328767123287671,0.0136986301369863,0.0273972602739726,0.475021645021645,3.6,3.6,0.19230769230769232,0.18867924528301888,0.7317073170731707,36.36776430737476,75.01
UNIELEC_AT,GBDT,spike,base,1063,613,0.48071495766698025,0.5192850423330198,0.33584195672624645,0.07055503292568203,0.07431796801505174,0.5001547243854457,7.430528375733855,7.2818003913894325,0.048939641109298535,0.3364886586890516,0.9312901631240732,53.8624600105767,75.01
