cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
LAGO_PJM:Linear,B6_HCH-Local,OK,C0,10488,6.10074,23.696914,8.27923,0.214741,0.0057,10.36308,0.0501,11.239183,6.106035,0.214927,-0.005295,-0.000867,-0.039012,0.00045697433605604125,0.00045697433605604125,
LAGO_PJM:MLP,B0_Identity,OK,,10488,4.210177,16.001717,6.97365,0.148195,0.0057,12.058718,0.0501,15.158024,4.210177,0.148195,0.0,0.0,,,,
LAGO_PJM:MLP,B1_ResidualL1,OK,,10488,4.777073,17.97174,7.373369,0.168149,0.0057,14.724558,0.0501,15.878424,4.210177,0.148195,0.566896,0.134649,,,,
LAGO_PJM:MLP,B2_QuantileResidual,OK,,10488,4.777882,17.973785,7.374033,0.168177,0.0057,14.724558,0.0501,15.878424,4.210177,0.148195,0.567705,0.134841,,,,
LAGO_PJM:MLP,B3_DeltaAdapter,OK,,10488,4.429169,16.722754,6.923764,0.155903,0.0057,15.670419,0.0501,15.820436,4.210177,0.148195,0.218992,0.052015,,,,
LAGO_PJM:MLP,B4_PIR,OK,,10488,4.210809,15.953065,6.848101,0.148217,0.0057,13.004994,0.0501,15.806203,4.210177,0.148195,0.000633,0.00015,,,,
LAGO_PJM:MLP,B5_HCH-Universal,OK,C0,10488,4.400157,17.139893,7.186378,0.154882,0.0057,11.455677,0.0501,15.54692,4.210177,0.148195,0.18998,0.045124,-0.013473,-0.006238342343866576,-0.006238342343866576,
LAGO_PJM:MLP,B6_HCH-Local,OK,C0,10488,4.210177,16.001718,6.97365,0.148195,0.0057,12.058719,0.0501,15.158024,4.210177,0.148195,0.0,0.0,-0.011608,0.0,0.0,
LAGO_PJM:LSTM,B0_Identity,OK,,10488,3.939917,14.484321,7.245994,0.138682,0.0057,13.153152,0.0501,14.881744,3.939917,0.138682,0.0,0.0,,,,
LAGO_PJM:LSTM,B1_ResidualL1,OK,,10488,4.342348,15.730848,7.333199,0.152847,0.0057,15.766325,0.0501,15.177758,3.939917,0.138682,0.402431,0.102142,,,,
LAGO_PJM:LSTM,B2_QuantileResidual,OK,,10488,4.341054,15.72815,7.332476,0.152801,0.0057,15.766325,0.0501,15.158824,3.939917,0.138682,0.401137,0.101814,,,,
