bin,n,yhat_lo,yhat_hi,pi_neg,pi_pos,m_neg,m_pos,M_neg,M_pos,mean_ci_lo,mean_ci_hi,dataset,backbone,evidence_status
6,1045,45.460424804687506,48.76132316589356,0.40095693779904307,0.5990430622009569,5.368008716009681,4.546922525277915,2.152340336849815,2.72380239313299,0.1425182895832437,1.045095125844318,LAGO_BE,LSTM,COMPUTED
7,1044,48.76132316589356,52.4115104675293,0.3381226053639847,0.6618773946360154,4.7505595285561535,5.444120688652337,1.6062715647321095,3.6033404174892385,1.532082548776031,2.4803760808812156,LAGO_BE,LSTM,COMPUTED
8,1044,52.4115104675293,56.74778099060059,0.3400383141762452,0.6599616858237548,6.1824716272488445,5.734160009420143,2.1022772295721643,3.7843259066000754,1.1002716472783685,2.278237615150903,LAGO_BE,LSTM,COMPUTED
9,1044,56.74778099060059,82.75294494628906,0.2998084291187739,0.7001915708812261,5.926991679036198,6.8401408006326285,1.7769620646918869,4.789408932243727,2.3745947901179805,3.6738276766121296,LAGO_BE,LSTM,COMPUTED
0,1045,-5.222015857696533,26.69709300994873,0.7626794258373206,0.23732057416267943,8.419272897290615,6.934645670060549,6.421206219273321,1.6457340920335084,-5.76233023316109,-3.746928923817759,LAGO_BE,MLP,COMPUTED
1,1044,26.69709300994873,31.988696670532224,0.6551724137931034,0.3448275862068966,5.900153943669726,5.188635438018375,3.865618101024993,1.7891846337994397,-2.651835698941466,-1.4849177070893675,LAGO_BE,MLP,COMPUTED
2,1044,31.988696670532224,36.094414138793944,0.4990421455938697,0.5009578544061303,6.054582782533027,4.853611714525387,3.0214919824709834,2.4314549106290975,-1.1476744508583392,-0.0006364934093089954,LAGO_BE,MLP,COMPUTED
3,1045,36.094414138793944,39.78250350952148,0.5272727272727272,0.4727272727272727,5.40533769195612,5.400981109634585,2.8500871466677724,2.5531910700090763,-0.7870692052213853,0.23318199648646312,LAGO_BE,MLP,COMPUTED
4,1044,39.78250350952148,43.12603569030762,0.46934865900383144,0.5306513409961686,5.154168125074737,5.268407530732964,2.41910189778412,2.795687521097761,-0.1484287364275412,0.8776191620666397,LAGO_BE,MLP,COMPUTED
5,1044,43.12603569030762,46.59407043457031,0.3946360153256705,0.6053639846743295,5.02451496679806,5.770111450666113,1.98285456544138,3.493017659790214,0.9949900251190824,2.007777343460693,LAGO_BE,MLP,COMPUTED
6,1045,46.59407043457031,50.05789260864258,0.3263157894736842,0.6736842105263158,4.784473855474477,6.4885907091877675,1.5612493633653557,4.371261109347548,2.282837595875273,3.3389530666699594,LAGO_BE,MLP,COMPUTED
7,1044,50.05789260864258,53.667361450195315,0.2998084291187739,0.7001915708812261,5.315143755830515,6.248377913489388,1.5935248999760065,4.375061546705692,2.2031070172407063,3.3445084104623235,LAGO_BE,MLP,COMPUTED
