model,episode_recall,episode_precision,complete_miss_rate,boundary_l1_error,duration_abs_error,event_magnitude_mae,point_recall,point_precision,overall_mae,overall_mae_ci_low,overall_mae_ci_high,normal_hour_mae,normal_hour_harm,exact_fallback_count,exact_fallback_rate,dataset,backbone
B0_gbdt,0.1864406779661017,0.22916666666666666,0.8135593220338984,2.0,1.9090909090909092,14.885478374479101,0.20466786355475763,0.5089285714285714,39.06753455837268,35.77131100113368,42.522925747452135,39.0273616475908,643795.3577386579,17053,1.0,LAGO_DE,gbdt
B1_gbdt,0.1016949152542373,0.22641509433962265,0.8983050847457628,2.3333333333333335,2.3333333333333335,9.25369858385173,0.11669658886894076,0.6132075471698113,39.031571635838425,35.7307189389501,42.48941029068397,38.96598713904323,642782.9238456571,16829,0.9868644813229344,LAGO_DE,gbdt
B2_gbdt,0.15254237288135594,0.375,0.847457627118644,1.8333333333333333,1.7222222222222223,21.925710825181568,0.1561938958707361,0.71900826446281,39.00851318940761,35.67466495265227,42.44068047455634,38.921080597962124,642042.1455439832,16829,0.9868644813229344,LAGO_DE,gbdt
B3_gbdt,0.1864406779661017,0.22916666666666666,0.8135593220338984,2.0,1.9090909090909092,14.885478374479101,0.20466786355475763,0.5089285714285714,39.06753455837268,35.77131100113368,42.522925747452135,39.0273616475908,643795.3577386579,17053,1.0,LAGO_DE,gbdt
B4_gbdt,0.1271186440677966,0.16304347826086957,0.8728813559322034,2.066666666666667,2.066666666666667,12.668171330075044,0.14721723518850988,0.5655172413793104,39.03819442276804,35.74136185018001,42.4947886715964,38.98372286129695,643075.4923199544,16877,0.9896792353251628,LAGO_DE,gbdt
E0_gbdt,0.1864406779661017,0.22916666666666666,0.8135593220338984,2.0,1.9090909090909092,14.885478374479101,0.20466786355475763,0.5089285714285714,39.0560109042191,35.76787372222644,42.51111400194471,39.0283476202644,643304.2538248181,17040,1.0,LAGO_DE,gbdt
E0_NoInsert_gbdt,0.1864406779661017,0.22916666666666666,0.8135593220338984,2.0,1.9090909090909092,14.885478374479101,0.20466786355475763,0.5089285714285714,39.0560109042191,35.76787372222644,42.51111400194471,39.0283476202644,643304.2538248181,17040,1.0,LAGO_DE,gbdt
E0_NoShift_gbdt,0.1864406779661017,0.22916666666666666,0.8135593220338984,2.0,1.9090909090909092,14.885478374479101,0.20466786355475763,0.5089285714285714,39.0560109042191,35.76787372222644,42.51111400194471,39.0283476202644,643304.2538248181,17040,1.0,LAGO_DE,gbdt
E0_NoMatching_gbdt,0.1864406779661017,0.22916666666666666,0.8135593220338984,2.0,1.9090909090909092,14.885478374479101,0.20466786355475763,0.5089285714285714,39.0560109042191,35.76787372222644,42.51111400194471,39.0283476202644,643304.2538248181,17040,1.0,LAGO_DE,gbdt
Oracle_gbdt,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,LAGO_DE,gbdt
B0_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419491074011363,6.464956052558956,8.610844876754836,7.436419613771722,38877.601740798564,5228,1.0,NEM_SA1,linear
B1_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419491074011363,6.464956052558956,8.610844876754836,7.436419613771722,38877.601740798564,5228,1.0,NEM_SA1,linear
B2_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419491074011363,6.464956052558956,8.610844876754836,7.436419613771722,38877.601740798564,5228,1.0,NEM_SA1,linear
B3_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419491074011363,6.464956052558956,8.610844876754836,7.436419613771722,38877.601740798564,5228,1.0,NEM_SA1,linear
B4_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419491074011363,6.464956052558956,8.610844876754836,7.436419613771722,38877.601740798564,5228,1.0,NEM_SA1,linear
E0_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.439009490025466,6.417979664821811,8.607209864895662,7.460067295509733,38852.03047501469,5208,1.0,NEM_SA1,linear
E0_NoInsert_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.439009490025466,6.417979664821811,8.607209864895662,7.460067295509733,38852.03047501469,5208,1.0,NEM_SA1,linear
E0_NoShift_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.439009490025466,6.417979664821811,8.607209864895662,7.460067295509733,38852.03047501469,5208,1.0,NEM_SA1,linear
